Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
50.1577
50.175
50.101
50.1244
50.1137
50.086
50.0961
50.1113
50.0724
50.1062
