Striped Warp Reduction,41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.0466487
1.59434
1.37459
1.35526
1.35386
1.37075
1.35213
1.34848
1.34986
1.34925
1.35184
