Striped Warp Reduction,41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.0408095
4.36928
4.36915
4.37869
4.37645
4.36301
4.36285
4.39168
4.40074
4.37011
4.37251
