Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
718.23
719.026
718.842
718.474
718.809
718.888
718.474
718.775
718.989
718.681
