Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
6393.77
6393.3
6395.72
6393.88
6395.02
6393.86
6391.05
6394.87
6392.83
6392.37
