Striped coloring (storing nothing),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.5512
8.5704
8.62634
8.5849
8.5553
8.56733
8.63667
8.5951
8.54877
8.58486
