Striped Warp Reduction,41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.0677254
0.225344
0.232736
0.243296
0.224768
0.226272
0.226624
0.22464
0.222144
0.22944
0.253504
