Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
36.9539
36.8384
36.9418
36.9204
36.8609
36.8732
36.8804
36.865
36.908
36.8753
