Striped Warp Reduction,41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.049629
2945.6
2944.14
2944.19
2944.16
2944.21
2944
2944.19
2944
2944.16
2944.05
