Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
50.4625
50.4603
50.4926
50.4364
50.4878
50.5104
50.4438
50.4246
50.5294
50.4775
