Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.14662
5.15533
5.16947
5.12147
5.12294
5.11994
5.11728
5.13907
5.14826
5.13994
