Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.47501
2.44326
2.44736
2.44838
2.45555
2.44736
2.45248
2.45043
2.45043
2.45555
