Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
5032.12
5032
5033.82
5032.22
5030.8
5029.17
5030.12
5031.64
5032.22
5031.28
