Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.364383
7.08176
7.07702
7.09296
7.10323
7.07363
7.08848
7.06842
7.08506
7.0945
7.08224
