Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
12.0102
11.9367
11.9286
11.9511
11.9183
11.9224
11.9644
11.9542
11.9798
11.9091
