Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
68.2222
67.9035
67.9188
67.8748
68.0192
67.8543
67.9885
67.9997
67.9741
67.8492
