Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
12.1986
12.1744
12.1568
12.172
12.2091
12.1691
12.1998
12.2183
12.2617
12.2066
