Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
2.95146
2.83363
2.83302
2.83149
2.83267
2.82115
2.81859
2.81914
2.82557
2.81766
