Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
10.5909
10.5182
10.5643
10.5488
10.5402
10.5513
10.5421
10.5592
10.5494
10.5885
