Striped coloring (pre-computing COR Format),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
0.979968
0.966656
0.965632
0.965632
0.987136
0.984064
0.96256
0.963584
0.960512
0.966656
