Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,MG,vanilla_version_RR Norm: 0.511717
117.825
117.076
117.059
117.149
117.177
117.077
117.146
116.955
117.054
117
