Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
16363.9
16354.5
16367.6
16362.5
16362.5
16361.4
16367
16366.2
16357
16369.9
