Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,MG,vanilla_version_RR Norm: 0.511717
145.81
144.342
144.345
144.347
144.356
144.333
144.469
144.295
144.295
144.407
