Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
10545.7
10546.1
10548.7
10547.3
10539.9
10546.4
10545.2
10546.6
10545.1
10544.1
