Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
22.4166
22.3905
22.4362
22.405
22.3635
22.3632
22.4077
22.3734
22.4399
22.3956
