Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.4346
26.3158
26.5193
26.2552
26.3361
26.2719
26.4808
26.3178
26.4233
26.3709
