Striped coloring (pre-computing COR Format),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
2.84131
2.83347
2.83088
2.8327
2.82483
2.84906
2.8487
2.84611
2.85072
2.86093
