Striped coloring (storing nothing),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2703.92
2702.28
2703.32
2702.65
2703.39
2702.69
2702.71
2701.71
2703.5
2702.93
