Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
38.3963
38.3664
38.3896
38.3706
38.362
38.3789
38.3829
38.2975
38.3924
38.3544
