Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.126404
1.28403
1.27446
1.27302
1.2728
1.27594
1.27907
1.28784
1.27366
1.26829
1.27421
