Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.152827
1.77069
1.76598
1.75706
1.74902
1.74944
1.7513
1.77696
1.76035
1.75757
1.7504
