Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
17.3679
17.3929
17.357
17.3663
17.3681
17.4682
17.409
17.4279
17.4188
17.385
