Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.3831
4.38355
4.38518
4.38509
4.37712
4.376
4.40032
4.4104
4.39146
4.3769
