Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.6222
62.3613
62.4151
62.5377
62.5789
62.8908
62.5738
62.6455
62.5487
62.5951
