Striped coloring (pre-computing COR Format),41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.29763
1.2335
1.25328
1.21731
1.21594
1.21568
1.29328
1.29664
1.29232
1.3057
