Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
225.93
226.28
225.978
226.319
226.67
226.31
226.306
226.039
226.381
226.322
