Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
5843.54
5846.55
5846.87
5848.17
5848.51
5847.38
5848.33
5848.06
5848.26
5847.71
