Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.42784
4.41229
4.36576
4.36838
4.35722
4.40074
4.3833
4.40992
4.37696
4.4063
