Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
718.432
719.232
719.054
718.748
719.014
718.908
719.068
718.938
719.145
718.947
