Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.7194
62.4761
62.7139
62.6461
62.8659
62.62
62.65
62.5326
62.5549
62.5261
