Striped coloring (storing nothing),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.74637
2.74637
2.74125
2.75354
2.74022
2.75968
2.75968
2.74739
2.75558
2.74944
