Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.43741
5.40813
5.36358
5.35699
5.34058
5.33616
5.33798
5.34899
5.35178
5.3647
