Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,SPMV,vanilla_version_RR Norm: 0.0523895
0.085696
0.079872
0.079904
0.080896
0.079872
0.079872
0.080896
0.079872
0.079872
0.079872
