Striped Warp Reduction,41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.0424581
2.32307
2.31686
2.30723
2.30182
2.31117
2.30566
2.30333
2.3016
2.32045
2.29347
