Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
17.3691
17.3537
17.278
17.2943
17.2851
17.2698
17.2739
17.2411
17.2411
17.3199
