Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
3.93587
3.92125
3.91606
3.91152
3.91779
3.88547
3.89971
3.8919
3.91651
3.89427
