Striped coloring (pre-computing COR Format),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.51904
2.50778
2.5088
2.52621
2.52416
2.51494
2.53133
2.50982
2.51392
2.50778
