Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.417828
11.7029
11.6605
11.6574
11.6378
11.6118
11.6663
11.6609
11.6595
11.6469
11.6361
