Striped Warp Reduction,41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.114762
0.164224
0.078432
0.069856
0.068288
0.067456
0.06704
0.067104
0.067488
0.066016
0.069088
