Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3070.49
3069.69
3069.42
3070.03
3070.27
3070.35
3067.27
3067.04
3067.79
3065.43
