Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
16.8428
16.8929
16.8397
16.9062
16.9155
16.8735
16.8274
16.9032
16.8028
16.897
