Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3401
3399.34
3402.66
3401.08
3400.21
3400.89
3401.51
3399.78
3400.48
3401.48
