Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2169.59
2169.17
2169.48
2170
2169.89
2169.49
2169.18
2169.05
2169.2
2169.5
