Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
100.892
99.9926
99.9731
100.031
99.9178
100.046
100.139
100.125
100.151
100.039
