Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
122.609
122.694
122.73
122.688
122.771
122.652
122.77
122.944
123.027
122.922
