Striped Warp Reduction,41-44,3d_27pt,256,128,128,111777784,Dot,vanilla_version_RR Norm: 0.0408095
0.099936
0.098304
0.098304
0.098208
0.098144
0.09824
0.098304
0.09728
0.10048
0.098304
