Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
225.899
225.812
225.892
225.991
226.322
226.03
225.812
225.766
226.316
226.149
