Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.56038
8.6247
8.63101
8.57866
8.57078
8.6185
8.58387
8.54928
8.58874
8.55386
