Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
11825.9
11824.5
11815.7
11822
11825.1
11820.5
11818.4
11820
11820.6
11824.8
