Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
33.2111
33.1542
33.2324
33.1703
33.148
33.1294
33.1827
33.2406
33.2044
33.191
