Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.809
62.7324
63.046
62.7947
62.8249
62.8498
62.8931
62.9345
62.9192
62.7869
