Striped Warp Reduction,41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.0466487
1.34874
1.35427
1.36678
1.34797
1.35766
1.35075
1.35389
1.35091
1.3575
1.35411
