Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
39.4743
39.38
39.3851
39.5469
39.5264
39.3851
39.38
39.3359
39.4209
39.3994
