Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
42.8808
42.8329
42.9445
42.8524
42.9701
42.8411
42.8145
42.8605
42.8605
42.8575
